body,utc,tt_jd,tdb_minus_tt_s,ra_deg,dec_deg,dist_km
mars,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,171.094134450,5.447716971,310443924.679321
jupiter,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,240.271917639,-19.986256811,937693099.933485
saturn,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,65.347671444,19.375825962,1221298914.343231
sun,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,281.288984000,-23.033251079,147103719.128918
moon,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,222.458925631,-10.903383797,402416.664647
venus,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,239.901182168,-18.451853395,170179432.423364
mars,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,330.524600893,-13.180499386,276709365.719931
jupiter,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,23.869833948,8.595900660,691317960.076637
saturn,2000-01-01T12:00:00,2451545.0007428704,-0.000080466,38.766011995,12.616278444,1294439913.223498
sun,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,281.447819667,-23.019848545,147105264.654836
moon,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,313.505073374,-15.401850063,391318.356414
venus,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,329.971577088,-13.778774617,115109259.220748
mars,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,341.204828863,-8.898467139,245419815.715445
jupiter,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,199.803368065,-6.972828165,829786259.472675
saturn,2016-12-31T23:59:59,2457754.5007775924,-0.000040233,260.449714157,-21.861235481,1641097139.754364
sun,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,134.229201253,17.255871804,151770780.913665
moon,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,18.168564408,12.174030217,379443.441320
venus,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,177.386263301,0.775091526,115520856.334231
mars,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,84.608070885,23.483842699,296646007.050002
jupiter,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,129.901088264,18.893171330,942290627.130884
saturn,2026-08-04T12:00:00,2461257.0008007409,-0.000804663,14.157557952,3.296543323,1337684020.224886
